Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
S. Velkov,Vejle,RCB,29,500000,2027-06-30,27,2508,1,1.13,Bulgaria,Bulgaria,right,192,86,no
N. Flø,Sønderjyske,GK,30,500000,2029-06-30,31,2974,0,0.0,Denmark,Denmark,right,190,91,no
J. Adedeji,AaB,"LAMF, LWF, CF",26,450000,2027-06-30,30,1671,3,4.1,England,England,right,182,0,no
M. Nielsen,AaB,LB,25,450000,2028-06-30,21,1593,0,0.75,Denmark,Denmark,left,0,0,no
A. Iljazovski,Hvidovre,"RB, RCB",28,450000,2026-12-31,23,1559,1,0.48,Denmark,"Denmark, North Macedonia",right,185,67,no
F. Dietz,Hobro,LCB,22,450000,2029-06-30,29,2417,1,1.5,Denmark,Denmark,,0,0,no
S. Emini,Sønderjyske,"RCMF, RDMF",25,450000,2027-06-30,23,1715,2,1.27,North Macedonia,North Macedonia,right,174,0,no
L. Qamili,Sønderjyske,"RW, CF, RWF",28,450000,2027-06-30,13,1021,4,3.51,Denmark,"Denmark, Albania",left,191,74,no
T. Lauritsen,Vejle,"RWB, RCMF",22,450000,2027-06-30,7,335,1,0.09,Denmark,Denmark,right,181,75,no
J. Gallegos,Botev Vratsa,"AMF, CF, LWF",24,450000,2027-06-30,29,1378,2,1.9,United States,United States,right,176,68,no
R. Wikström,Elfsborg,"RB, RCB, LCB",25,450000,2029-12-31,28,1879,2,1.99,Sweden,Sweden,right,189,76,no
J. Jensen-Abbew,AGF,RCB,24,400000,2028-12-31,13,1176,0,0.42,Denmark,"Denmark, Ghana",right,187,80,no
C. Jørgensen,Kolding IF,"LDMF, LCMF",23,400000,2027-06-30,26,1607,0,1.14,Denmark,Denmark,left,185,0,no
O. Klitten,Hobro,"RB, RAMF, RW",26,400000,2028-06-30,27,1391,1,2.01,Denmark,Denmark,right,183,68,no
M. Freundlich,Silkeborg,"RCMF, LCMF, DMF",23,400000,2029-06-30,29,2251,1,1.55,Denmark,Denmark,right,0,0,no
M. Lindberg,Sirius,"LW, RWF, RAMF",25,400000,2028-06-30,31,2707,11,8.99,Denmark,Denmark,right,181,74,no
L. Bøje-Larsen,Hillerød,"LB, RB",25,400000,,28,2506,1,1.29,Denmark,Denmark,left,0,0,no
L. Steffensen,Vendsyssel,CF,29,400000,2029-06-30,30,1534,10,8.58,Denmark,Denmark,,196,82,no
K. Kirkegaard,Horsens,"RWF, RW, AMF",28,400000,2027-06-30,30,1960,9,6.84,Denmark,Denmark,right,174,63,no
H. Barry,Al Zulfi,"RCMF, LCMF, LDMF",31,400000,,17,950,0,0.98,Gambia,Gambia,right,175,73,no
D. Emmanouilidis,Levadiakos,"LWF, LW, AMF",25,400000,2027-06-30,16,1095,8,4.99,Greece,Greece,right,175,71,no
F. Christensen,Ingolstadt,CF,25,350000,2028-06-30,29,2453,8,10.99,Denmark,Denmark,right,194,0,yes
L. Gordinho,Cape Town,"CB, LCB",32,350000,,13,862,0,0.0,South Africa,"South Africa, Portugal",right,185,78,no
E. Søgård,Hobro,"RCB, LCB, RWB",29,350000,2027-06-30,31,2963,1,1.98,Denmark,Denmark,right,185,75,no
S. Andreasen,Hobro,"CF, LWF",30,350000,2027-06-30,14,722,3,1.92,Denmark,Denmark,,174,63,no
A. Barkarson,Sogndal,LB,25,350000,2028-12-31,22,1665,0,0.86,Iceland,Iceland,left,0,0,no
T. Thomsen,HB Køge,CF,33,350000,2028-06-30,20,1769,7,6.1,Denmark,Denmark,right,183,81,no
Matti Olsen,Fremad Amager,RCB,31,350000,,30,2723,3,1.06,Denmark,Denmark,right,0,0,no
F. Carstensen,Sarpsborg 08,"CF, LWF, RWF",24,350000,2028-12-31,20,1615,5,2.8,Denmark,Denmark,right,179,66,no
M. Grandt,Hillerød,"RCMF, RDMF, LDMF",26,350000,,30,2527,1,0.18,Denmark,Denmark,,0,0,no
M. Kristensen,Aalesund,"LCMF, RW, RCMF",29,350000,2027-12-31,30,2210,2,2.1,Denmark,Denmark,right,187,77,no
O. Kjærgaard,Hvidovre,"LCMF, RCMF",28,350000,,17,1465,3,3.9,Denmark,Denmark,right,184,76,no
E. Just,Swansea City,RAMF,26,350000,2027-05-31,1,60,0,0.03,New Zealand,New Zealand,left,174,67,no
T. Anker,Sirius,LCB,25,350000,2029-06-30,30,2854,6,2.62,Denmark,Denmark,left,193,84,no
N. Mouritsen,B.93,LB,31,350000,2028-06-30,32,2862,3,1.72,Denmark,Denmark,left,180,73,no
L. Haren,Vålerenga,"LAMF, RWF, CF",28,350000,2028-12-31,30,2499,6,7.39,Denmark,Denmark,right,180,72,no
T. Gundelund,Vejle,"RWB, RB",24,350000,2028-06-30,15,897,0,0.12,Denmark,Denmark,right,178,68,no
A. Taiwo,Riga FC,CF,27,350000,,2,110,0,0.0,Nigeria,Nigeria,right,178,80,no
M. Andreasen,Næstved,CF,22,300000,,11,286,1,1.05,Denmark,Denmark,right,0,0,no
F. Elkær,Lillestrøm,"LWB, LB",24,300000,2026-12-31,24,1835,4,1.91,Denmark,Denmark,left,176,74,no
V. Rasmussen,Odds,"LCMF, RCMF",24,300000,2028-12-31,21,583,0,0.1,Denmark,Denmark,left,181,0,no
M. Pedersen,Hobro,"DMF, LCMF, RCMF",30,300000,2027-06-30,2,190,0,0.14,Denmark,Denmark,left,182,80,no
E. Simonsen,Fredericia,"LAMF, LW",26,300000,2027-12-31,24,2051,7,7.4,Denmark,Denmark,right,170,0,no
N. Effiong,East Bengal,CF,26,300000,2028-05-31,8,392,1,2.55,Nigeria,Nigeria,left,195,0,no
F. Mortensen,Hobro,"LCMF, RCMF, DMF",27,300000,,25,2190,2,1.42,Denmark,Denmark,right,176,77,no
A. Smed,Hvidovre,"CF, RWF, RW",29,300000,,29,1112,5,3.03,Denmark,Denmark,right,182,73,no
L. Henriksen,B.93,RB,24,300000,2027-06-30,28,2153,1,0.65,Denmark,Denmark,right,175,64,no
C. Enemark,Hobro,LCB,27,300000,2026-12-31,29,2733,0,0.15,Denmark,Denmark,right,183,0,no
F. Christensen,Kongsvinger,"DMF, LCMF, RCMF",26,300000,2027-12-31,17,1631,0,0.49,Denmark,Denmark,right,176,70,no
P. Rejnhold,,"LCB, RB",30,300000,,2,121,0,0.04,Denmark,Denmark,both,177,0,no
